"","V1"
"1",19.489934984167
"2",19.7213441801808
"3",84.8683833943526
"4",109.913597018396
"5",156.996205389463
"6",19.470593115161
"7",248.331209119704
"8",26.6854773679995
"9",87.6496739018449
"10",28.60083361443
"11",202.803029188007
"12",87.1948910531587
"13",0.63797846941461
"14",192.384451712166
"15",27.100343429737
"16",0.91087962962963
"17",156.175393946764
"18",0.609642267423874
"19",28.6287146627137
"20",0.670379157706267
"21",71.5636881120413
"22",72.8254614619741
"23",1.06096511936589
"24",0.887023980626714
"25",10.3054733973243
"26",80.3626142103432
"27",157.040390872611
"28",100.383604584068
"29",10.8472479208832
"30",161.494224186927
"31",89.9286433682951
"32",80.0736286628765
"33",92.943055221311
"34",118.912741762045
"35",95.7018875948146
"36",0.639272339824198
"37",187.513427549145
"38",88.5873618037056
"39",160.020138368563
"40",164.818847083658
"41",99.7600165313858
"42",73.9605349230929
"43",10.9902501240749
"44",84.7704897024283
"45",19.457649296582
"46",282.354295612582
"47",19.426180087383
"48",0.50108950617284
"49",150.397815555966
"50",100.858262222594
"51",10.3558235674131
"52",68.8621347878697
"53",91.9438684061323
"54",18.6933256290679
"55",91.9679830838091
"56",0.875999086553256
"57",267.29628764807
"58",180.331247436046
"59",162.67507087664
"60",247.493950373823
"61",241.520959700685
"62",168.386673653877
