"id","name","date","dating_notes","xlong","ylat","date_type","morph","azimuth","area","trait_1","trait_2","trait_3","trait_4","trait_5","trait_6","trait_7","trait_8","xeast","ynorth"
17,"Kouk Trâpeang Plus",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.68054,13.61365,"regression","horseshoe_east",92.101602,1428.01292,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,357260.2,1505390
18,"Kouk Bos Ta Chet",1021.586,"Date derived through multiple linear regression (Klassen et al. 2018).",103.68605,13.63192,"regression","horseshoe_east",93.674518,1308.962822,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,357871.7,1507404
19,"Prey Kou",930.5793,"Date derived through multiple linear regression (Klassen et al. 2018).",103.67958,13.64251,"regression","horseshoe_east",85.780889,1579.322826,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,357173.3,1508579
20,"Kouk Trâpeang Yey Orn",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.68852,13.64244,"regression","horseshoe_east",90.400618,1571.635003,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,358150.1,1508566
21,"Kouk Khdei",839,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.68904,13.61551,"graphbased","horseshoe_east",95.473545,2014.707672,FALSE,TRUE,NA,NA,NA,NA,NA,NA,358189.2,1505586
22,"Kouk Kou",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.70334,13.63532,"regression","horseshoe_east",90,1571.985542,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,359744.2,1507771
23,"Kouk Kou",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.70389,13.64593,"regression","horseshoe_east",270,2150.474616,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,359799.1,1508965
24,"Kôk Ta Ker",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.71194,13.61946,"regression","horseshoe_east",261.107445,2302.880988,FALSE,TRUE,NA,NA,NA,NA,NA,NA,360659.8,1506004
25,"Kouk Chong Krom",910.6558,"Date derived through multiple linear regression (Klassen et al. 2018).",103.70579,13.61752,"regression","horseshoe_east",90.81459,2240.481241,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,359998.2,1505802
26,"Chranieng (Pr.)",961,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.72058,13.63769,"graphbased","horseshoe_east",89.240536,1458.603042,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,361604,1508016
27,"Kouk Kou",970,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.73199,13.63453,"graphbased","horseshoe_east",267.305646,2184.012304,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,362830,1507660
28,"Phum Trâpeang Pongro",926,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.7346,13.61588,"graphbased","square",71.902732,9476.834159,FALSE,FALSE,NA,NA,NA,NA,NA,NA,363108.3,1505600
29,"Kontrep (Pr.)",930.5793,"Date derived through multiple linear regression (Klassen et al. 2018).",103.7431,13.6251,"regression","horseshoe_north",262.325511,2716.141476,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,364039.4,1506613
30,"Kouk Kou",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.74337,13.6378,"regression","horseshoe_east",254.57787,1391.026978,FALSE,TRUE,NA,NA,NA,NA,NA,NA,364064.6,1508017
31,"Sonday",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.93827,13.52012,"regression","square",89.833188,1309.531932,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,385100.3,1494903
32,"Kouk Trâpeang Kouk",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.75001,13.62298,"regression","square",58.947259,1353.643297,TRUE,TRUE,NA,NA,NA,NA,NA,NA,364772.7,1506380
33,"Smonh (Pr.)",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.75595,13.63778,"regression","causeway_2",80.296114,3158.227022,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,365425.9,1508010
34,"Kouk Kou Trâpeang Prey",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.76396,13.64643,"regression","horseshoe_east",87.104205,2216.295211,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,366303.7,1508962
36,"Preah Khan",1087.121,"Date derived through multiple linear regression (Klassen et al. 2018).",103.77507,13.61637,"regression","square",82.416882,72560.73423,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,367493.1,1505627
38,"Arak Thalo",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.80763,13.62136,"regression","horseshoe_east",86.769003,3276.934377,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,371025.8,1506169
39,"Tuol Prasat Kou",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.93967,13.56611,"regression","causeway_2",90,3256.725559,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,385280.9,1499991
40,"Kôk Phluong",910.6558,"Date derived through multiple linear regression (Klassen et al. 2018).",103.81045,13.49855,"regression","horseshoe_east",90,2271.787071,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,371281.6,1492559
41,"Kouk Pongro",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.67673,13.60154,"regression","horseshoe_east",93.162357,711.379003,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,356840.8,1504050
42,"Kouk Kou",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.68221,13.6076,"regression","horseshoe_east",278.359856,1371.600053,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,357441.7,1504717
43,"Kouk Kou",1022,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.6942,13.5926,"graphbased","horseshoe_east",95.140206,3860.127085,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,358726.1,1503056
44,"Kouk Kbal Domrey",1035,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.68862,13.58454,"graphbased","horseshoe_east",100.324249,594.97007,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,358112.9,1502168
45,"Toul Rom Chek",962,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.620925,13.493555,"graphbased","square",90,3759.670384,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
46,"Kouk Rom Check 1",976.1907577,"Date derived through multiple linear regression (Klassen et al. 2018).",103.621883,13.4938,"regression","horseshoe_east",90,859.655804,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
47,"Trâpeang Song Ke (Pr.)",910.655766,"Date derived through multiple linear regression (Klassen et al. 2018).",103.637674,13.582604,"regression","horseshoe_east",90,1429.62024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA
48,"Kouk Kou Trâpeang Kouk",1035,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.637138,13.584041,"graphbased","horseshoe_east",88.472401,1729.055448,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
49,"Kouk Kou Dok Por",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.64672,13.56515,"regression","horseshoe_east",90,1380.938105,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,353573,1500044
